"id","题目","精灵id"
"1","私聊指的是通过好友频道进行一对一的聊天哦~这样可以更加愉快的聊天哦！","1965"
"2","Q1是缺一人的意思，依此类推，Q2是指缺两人的意思","1966"
"3","接环指4人组队，帮助其他玩家通过暗夜马戏团战斗，一般通过当前喊话和自助匹配任务两种方式匹配玩家","1967"
"4","“pvp”是指玩家与玩家之间的进行战斗，如竞技场等都是常见的pvp竞技比赛","1968"
"5","环任务指参加暗夜马戏团活动，由于暗夜马戏团是一环扣一环，故被称为“环任务”","1969"
"6","一条也叫一条龙，指的是一次性完成组队的日常任务，包括精英副本、远古魔像、日常副本等，如果有特殊活动也可以一并完成","1970"
"7","跟环是指加入其他玩家队伍并协助完成暗夜马戏团战斗任务，可以获得一定的经验奖励哦","1971"
"8","守尸（或控尸）是指对死亡的敌人角色进行攻击，防止对方被球起以后进行攻击","1972"
"9","“精英本”的说法是指组队去完成精英副本","1973"
"10","配速指的是宠物速度比自身角色速度快，保证角色死亡后，宠物救起后可以马上攻击","1974"
"11","“PVE”是指玩家与系统怪物之间的进行战斗，如冰封王座、冠军试炼都是常见的PVE玩法","1975"
"12","集火指的是集中火力攻击指定的怪物，一般是威胁大的怪物","1976"
"13","上电视是指聊天框中的系统信息栏显示的信息，一般关于获得奖励信息","1977"
"14","拉人是指使用复活技能或者使用复活药品救起死亡的队友","1978"
"15","龟速指的是宠物速度非常慢，可以有效防止对方控尸","1979"
"16","代价是带上价格的意思，一般是玩家战士一个物品，让想要购买的玩家出价","1980"
"17","卡速指的是宠物速度比对方输出角色快，并比对方的配速宝宝慢","1981"
"18","挂三连是指战士挂自动的时候选择毁灭打击技能","1982"
"19","zs是战士简称，以zs称呼战士的玩家可以显得更加亲切","1983"
"20","骷髅战士是指血量非常少的战士角色，被救起来就可以使用毁灭打击","1984"
"21","ms是牧师的简称，当然还有玩家以奶妈来称呼牧师","1985"
"22","dly是德鲁伊简称，以dly称呼德鲁伊的玩家可以显得更加亲切","1986"
"23","lr是猎人简称，以lr称呼猎人的玩家可以显得更加亲切","1987"
"24","ss是术士简称，当然还有的玩家以直接的封印的来称呼","1988"
"25","fs是法师简称，以fs称呼法师的玩家可以显得更加亲切","1989"
"26","sq是圣骑简称，以sq称呼圣骑的玩家可以显得更加亲切","1990"
"27","sm是萨满简称，以sm称呼萨满的玩家可以显得更加亲切","1991"
"28","dz是盗贼简称，以dz称呼盗贼的玩家可以显得更加亲切","1992"
