序号,题目,选项1,选项2,选项3,选项4,正确答案,正确奖励id,错误奖励id,精灵id
1,有人抢劫，报警应该拨打电话号码？,110,120,112,119,1,5900,5910,
2,穿西装时，应搭配什么鞋？,皮鞋,旅游鞋,布鞋,凉鞋,1,5900,5910,
3,中国少女节在哪一天？,农历七月初七,农历九月初九,农历三月初三,农历八月二十四,1,5900,5910,
4,下列哪一个不是对女士的称呼？,伪娘,剩女,御女,宅女,1,5900,5910,
5,如果家里的煤气漏了怎么办？,关掉煤气打开窗户,上蓝翔找人维护,抽根烟冷静一下,发朋友圈求助,1,5900,5910,
6,保护水环境，我们应该选择使用什么洗衣粉？,无磷,清香,机洗,普通,1,5900,5910,
7,咖啡的故乡是哪里？,非洲,美洲,亚洲,欧洲,1,5900,5910,
8,麻婆豆腐用的最主要调味料是什么？,花椒,生姜,葱,大蒜,1,5900,5910,
9,怕上火就喝什么？,加多宝,可口可乐,哇哈哈果奶,汇源橙汁,1,5900,5910,
10,一年有几个节气？,24个,12个,36个,这还真不知道,1,5900,5910,
11,下面哪种食物最容易受到重金属污染？,虾和贝类,土豆,牛肉,面条,1,5900,5910,
12,人造板材中释放的有害气体主要是？,甲醛,氨气,氡气,一氧化碳,1,5900,5910,
13,烟草里毒性最大的物质什么？,尼古丁,焦油,一氧化碳,烟叶,1,5900,5910,
14,请问钓鱼岛是？,中国的,日本的,美国的,泰国的,1,5900,5910,
15,被誉为冰淇淋中的“劳斯莱斯”？,哈根达斯,芭斯罗缤,巴黎贝甜,多可之日,1,5900,5910,
16,中药需要用什么锅煎？,砂锅,铜锅,铝锅,石锅,1,5900,5910,
17,下列对环境危害最大的是？,废电池,废玻璃,废纸,废电脑,1,5900,5910,
18,被称为“液体面包”的是？,啤酒,麦片,奶茶,咖啡,1,5900,5910,
19,哪种水果可以止咳？,梨,柚子,橙子,香蕉,1,5900,5910,
20,女性在哪个时期不宜饮茶？,孕期,饭后,运动过后,饭前,1,5900,5910,
