"id","题目"
"1","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"2","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"3","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"4","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"5","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"6","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"7","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"8","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"9","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
"10","<T t=""（1）由于主线剧情的任务经验固定。建议先"" c=""FF000000"" f=""simhei-12""></T><T t=""完成主线任务，做到15级在"" c=""FF000000"" f=""simhei-12""></T><B></B><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往完成师门任务"" c=""FF006400"" f=""simhei-12""></T><B></B><T t=""（2）20级继续"" c=""FF000000"" f=""simhei-12""></T><T t=""主线任务的第二章"" c=""FFDC143C"" f=""simhei-12""></T><T t=""，然后"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加答题活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（3）28级主线活动结束，可以"" c=""FF000000"" f=""simhei-12""></T><U t=""【大家活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""参加其他活动"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（4）30级可以继续做主线任务，玩家达到35级后千万不要错过"" c=""FF000000"" f=""simhei-12""></T><Q t=""【公会任务】"" qid=""1000"" c=""FF006400"" ></Q><T t=""，会奖励大量经验和公会DKP，没入公会的可以点击公会列表加入或创建公会"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""（5）单人任务做完后可"" c=""FF000000"" f=""simhei-12""></T><U t=""【打开活动界面】"" did=""41"" c=""FF006400"" ></U><T t=""前往组队参与职业任务"" c=""FF000000"" f=""simhei-12""></T><B></B><T t=""做完以上活动中全部任务一天内生到40级已经是妥妥的。"" c=""FF000000"" f=""simhei-12""></T>"
