"序号","题目","选项1","选项2","选项3","选项4","正确答案","正确奖励id","错误奖励id","精灵id"
"1","歌曲《怒放的生命》《北京北京》演唱者是？","汪峰","张信哲","王力宏","张惠妹","1","5870","5880",""
"2","歌曲《海阔天空》《光辉岁月》演唱者是？","Beyond","张信哲","王力宏","张惠妹","1","5870","5880",""
"3","以下哪首歌不是凤凰传奇演唱的？","大约在冬季","月亮之上","自由飞翔","荷塘月色","1","5870","5880",""
"4","歌曲《吻别》《一千个伤心的理由》演唱者是？","张学友","张信哲","王力宏","张惠妹","1","5870","5880",""
"5","忘情水的演唱者是？","刘德华","郭富城","古天乐","周笔畅","1","5870","5880",""
"6","歌曲《单身情歌》是谁的成名曲？","林志炫","张雨生","莫文蔚","郑源","1","5870","5880",""
"7","歌曲《勇气》是谁的成名曲？","梁静茹","张雨生","莫文蔚","郑源","1","5870","5880",""
"8","周杰伦和谁一起演唱的“千里之外”？","费玉清","阿信","林俊杰","古巨基","1","5870","5880",""
"9","歌颂友情的歌曲《朋友》由谁演唱的？","周华健","刘欢","古巨基","崔健","1","5870","5880",""
"10","下面哪首歌适合身份是情侣的人听？","今天你要嫁给我","父亲","朋友","找朋友","1","5870","5880",""
"11","歌曲《那些年》是谁的成名曲？","胡夏","张雨生","莫文蔚","郑源","1","5870","5880",""
"12","歌曲《董小姐》演唱者是？","宋冬野","周杰伦","张杰","魏晨","1","5870","5880",""
"13","歌曲《时间煮雨》演唱者是？","郁可唯","周杰伦","张杰","魏晨","1","5870","5880",""
"14","歌曲《那女孩对我说》是谁的成名曲？","黄义达","邓紫棋","华晨宇","王菲","1","5870","5880",""
"15","歌曲《爱的初体验》是谁的成名曲？","张震岳","邓紫棋","华晨宇","王菲","1","5870","5880",""
"16","歌曲《祝你平安》是谁的成名曲？","孙悦","邓紫棋","华晨宇","王菲","1","5870","5880",""
"17","关于情侣分手的情歌是哪一首？","分手快乐","好好恋爱","爱神","十七岁的雨季","1","5870","5880",""
"18","《情歌王》是谁的专辑里的歌曲？","古巨基","周华健","刘欢","张杰","1","5870","5880",""
"19","歌曲《天涯》是谁的成名曲？","爱乐团","邓紫棋","华晨宇","王菲","1","5870","5880",""
"20","歌曲《电台情歌》是谁的成名曲？","莫文蔚","邓紫棋","华晨宇","王菲","1","5870","5880",""
"21","歌曲《桃花朵朵开》是谁的成名曲？","阿牛","邓紫棋","华晨宇","王菲","1","5870","5880",""
"22","歌曲《孤单北半球》是谁的成名曲？","欧得洋","邓紫棋","华晨宇","王菲","1","5870","5880",""
"23","歌曲《传奇》《因为爱情》演唱者是？","王菲","周传雄","张雨生","张靓颖","1","5870","5880",""
"24","歌曲《最炫民族风》《荷塘月色》演唱者是？","凤凰传奇","周传雄","张雨生","张靓颖","1","5870","5880",""
"25","周杰伦的哪首歌唱出了中医的精髓？","本草纲目","一路向北","清明雨上","双节棍","1","5870","5880",""
"26","歌曲《做我老婆好不好》演唱者是？","徐誉滕","周杰伦","张杰","魏晨","1","5870","5880",""
"27","歌曲《一个像夏天一个像秋天》演唱者是？","范玮琪","周杰伦","张杰","魏晨","1","5870","5880",""
"28","歌曲《约定》演唱者是？","周慧","周杰伦","张杰","魏晨","1","5870","5880",""
"29","歌曲《月半小夜曲》演唱者是？","李克勤","周杰伦","张杰","魏晨","1","5870","5880",""
"30","歌曲《说谎》演唱者是？","林宥嘉","周杰伦","张杰","魏晨","1","5870","5880",""
"31","歌曲《香水有毒》是谁的成名曲？","胡杨林","张惠妹","五月天","王杰","1","5870","5880",""
"32","歌曲《七月七日晴》是谁的成名曲？","吴慧欣","张惠妹","五月天","王杰","1","5870","5880",""
"33","歌曲《光辉岁月》是谁的成名曲？","Beyond","张惠妹","五月天","王杰","1","5870","5880",""
"34","歌曲《我是女生》是谁的成名曲？","徐怀钰","邓紫棋","华晨宇","王菲","1","5870","5880",""
"35","歌曲《看我72变》是谁的成名曲？","蔡依林","张惠妹","五月天","王杰","1","5870","5880",""
"36","歌曲《猪之歌》是谁的成名曲？","香香","邓紫棋","华晨宇","王菲","1","5870","5880",""
"37","《大笑江湖》这首歌是由谁演唱的？","小沈阳","宋小宝","刀郎","伍佰","1","5870","5880",""
"38","歌曲《一直很安静》《寂寞在唱歌》演唱者是？","阿桑","周传雄","张雨生","张靓颖","1","5870","5880",""
"39","歌曲《泡沫》《后会无期》演唱者是？","邓紫棋","周传雄","张雨生","张靓颖","1","5870","5880",""
"40","歌曲《同桌的你》是谁的成名曲？","老狼","张雨生","莫文蔚","郑源","1","5870","5880",""
"41","歌曲《你是我的眼》是谁的成名曲？","林宥嘉","张雨生","莫文蔚","郑源","1","5870","5880",""
"42","歌曲《需要人陪》演唱者是？","王力宏","周杰伦","张杰","魏晨","1","5870","5880",""
"43","歌曲《对你爱不完》是谁的成名曲？","郭富城","张惠妹","五月天","王杰","1","5870","5880",""
"44","歌曲《十七岁的雨季》是谁的成名曲？","林志颖","张惠妹","五月天","王杰","1","5870","5880",""
"45","歌曲《花心》是谁的成名曲？","周华健","张雨生","莫文蔚","郑源","1","5870","5880",""
"46","歌曲《有多少爱可以重来》是谁的成名曲？","迪克牛仔","张国荣","苏打绿","周传雄","1","5870","5880",""
"47","歌曲《青花瓷》《烟花易冷》演唱者是？","周杰伦","张信哲","王力宏","张惠妹","1","5870","5880",""
"48","歌曲《放生》演唱者是？","范逸臣","周杰伦","张杰","魏晨","1","5870","5880",""
"49","歌曲《无所谓》《空城》演唱者是？","杨坤","张信哲","王力宏","张惠妹","1","5870","5880",""
"50","歌曲《水手》是谁的成名曲？","郑智化","张国荣","苏打绿","周传雄","1","5870","5880",""
"51","歌曲《天使的翅膀》是谁的成名曲？","安琥","张国荣","苏打绿","周传雄","1","5870","5880",""
"52","歌曲《偏爱》是谁的成名曲？","张芸京","张国荣","苏打绿","周传雄","1","5870","5880",""
"53","歌曲《空白格》演唱者是？","杨宗纬","周杰伦","张杰","魏晨","1","5870","5880",""
"54","歌曲《何必在一起》《逆战》演唱者是？","张杰","张信哲","王力宏","张惠妹","1","5870","5880",""
"55","歌曲《甜蜜蜜》《月亮代表我的心》演唱者是？","邓丽君","张信哲","王力宏","张惠妹","1","5870","5880",""
"56","歌曲《背叛》是谁的成名曲？","曹格","伍佰","范玮琪","宋祖英","1","5870","5880",""
"57","歌曲《小情歌》是谁的成名曲？","苏打绿","刘欢","齐秦","成龙","1","5870","5880",""
"58","歌曲《家乡》是谁的成名曲？","韩红","伍佰","范玮琪","宋祖英","1","5870","5880",""
"59","歌曲《江南》是谁的成名曲？","林俊杰","伍佰","范玮琪","宋祖英","1","5870","5880",""
"60","歌曲《勇气》《可惜不是你》演唱者是？","梁静茹","郁可唯","曲婉婷","许巍","1","5870","5880",""
"61","神曲《江南style》的主唱是？","鸟叔","龚琳娜","凤凰传奇","梁静茹","1","5870","5880",""
