"序号","题目","选项1","选项2","选项3","选项4","正确答案","正确奖励id","错误奖励id","精灵id"
"1","亚，猜—成语。","有口难言","东萨摩亚","祖迪亚克","阿凯亚人","1","5870","5880",""
"2","口算876+234+124+766+555=?","2555","2435","2315","2255","1","5870","5880",""
"3","被人家放了鸽子还高兴的是谁?","鸽子","老王","老李","老张","1","5870","5880",""
"4","七仙女嫁出去—个，猜─成语?","六神无主","良宵美景","不知所措","醒世恒言","1","5870","5880",""
"5","顶破天?(打一宁)","夫","天","丁","牛","1","5870","5880",""
"6","小花的爸爸有3个儿子，大儿子叫大毛，二儿子叫二毛，三儿子叫什么?","小花","三毛","无毛","白毛","1","5870","5880",""
"7","火,猜—成语。","火顶之灾","耿耿于怀","炯炯有神","阳光灿烂","1","5870","5880",""
"8","袭人芳官伴宝玉(猜—成语)","花花公子","金口玉言","古今中外","野心勃勃","1","5870","5880",""
"9","—条小小虫，自己做灯笼，躲在灯笼里，变个飞仙女(猜昆虫)","蚕","蚊","蝇","蜜蜂","1","5870","5880",""
"10","正五边形有多少条对角线?","5","4","6","9","1","5870","5880",""
"11","杀颜良，诛文丑，温酒斩华雄(猜—成语)","性命攸关","关山阻隔","危在旦夕","迫在眉睫","1","5870","5880",""
"12","下列哪个数字被6整除，被5除余3.被4除余2?","18","20","19","16","1","5870","5880",""
"13","鼻子朝天，嘴巴朝地。敲它一锤，惊天动地(打一日常用品)","大钟","碗","茶壶","夜壶","1","5870","5880",""
"14","小明与小强比赛爬楼梯，小明爬到3楼时，小强到4楼，小明爬到7楼时，小强到几楼?","10","11","14","16","1","5870","5880",""
"15","娘子娘子，身似盒子，麒麟剪刀，八个钗(chai)子。(打一动物)","蟹将","蜘蛛","蚂蚁","虾兵","1","5870","5880",""
"16","导游，猜—成语。","引人入胜","指点江山","胡搅蛮缠","虚情假意","1","5870","5880",""
"17","桌面上有10只点燃的蜡烛，一阵风吹灭了3只，一夜过后，桌上还剩几只蜡烛?","3","1","10","5","1","5870","5880",""
"18","有面无口，有脚无手，听人讲话，陪人吃酒(打一日常用品)","桌子","凳子","筷子","电视","1","5870","5880",""
"19","三线电缆中的红色线是?","火线","地线","零线","毛线","1","5870","5880",""
"20","头戴红页帽，身穿白布妖，走路像摇船，说话像驴叫。(猜动物)","鹅","鸡","小猫咪","孔雀","1","5870","5880",""
"21","1.2.3.5.8.()，21.34请问括号中最适合的数字是几?","13","12","10","15","1","5870","5880",""
"22","撼山易，撼隋文帝难(猜—成语)","坚不可摧","地动山摇","攻大磨坚","同甘共苦","1","5870","5880",""
"23","有风不动无风动，不动无风动有风。(猜一物)","扇子","筷子","翅膀","风","1","5870","5880",""
"24","手无寸铁，猜一字","控","没","打","失","1","5870","5880",""
"25","一个说可以，一个说凑合，还有—个无所谓(猜─成语)","行将就木","可有可无","不闻不问","视若无睹","1","5870","5880",""
"26","坐也是卧，立也是卧，行也是卧，卧也是卧。(猜动物)","蛇","马","驴","鱼","1","5870","5880",""
"27","前面来只船，舵手在上边，来时下小雨，走后路已干(打一日常用品)","烫斗","蒸汽机","小汽车","拖把","1","5870","5880",""
"28","无脚也无手，身穿鸡皮皱。(打—动物名)","海毛虫","跳跳虫","甲壳虫","萤火虫","1","5870","5880",""
"29","一口吃掉牛尾巴，猜一字","告","牦","生","口","1","5870","5880",""
"30","书中自有黄金屋(猜─成语)","—本万利","千言万语","一字千金","一孔之见","1","5870","5880",""
"31","千言万语，猜一字","够","牛","生","方","1","5870","5880",""
"32","左手五个，右手五个。拿去十个，还剩十个(打一日常用品)","手套","袜子","帽子","外套","1","5870","5880",""
"33","白天草里住，晚上空中游，金光闪闪动，见尾不见头。(猜昆虫)","萤火虫","鱼","青蛙","毛毛虫","1","5870","5880",""
"34","一只八宝袋，样样都能装。能装棉和纱，能装铁和钢(打一日常用品)","针线包","工具箱","钱包","口袋","1","5870","5880",""
"35","—根绳子，对折2次后从中剪断，绳子变为几段?","5","3","6","9","1","5870","5880",""
"36","—条怪牛，两条圆腿，骑他肚上，抓他双角。(猜交通工具)","自行车","汽车","轮船","飞机","1","5870","5880",""
"37","外套改马甲(猜—成语)","双管齐下","外套","裤子","皮大衣","1","5870","5880",""
"38","武大郎设宴，猜—成语","高朋满座","门庭若市","齐齐一堂","宾客盈门","1","5870","5880",""
"39","金钩吊银圈，姐妹隔座山。若要来相会，需到天色晚(打一日常用品)","耳环","截止","手镯","项链","1","5870","5880",""
"40","池里不见水，地上不见泥，猜一字","也","土","水","塘","1","5870","5880",""
"41","—个师父最多同时拥有几个徒弟?","9","11","8","14","1","5870","5880",""
"42","以下哪3个数字的和与积相同?","1.2.3","3.5.6","4.5.6","7.9.8","1","5870","5880",""
"43","两眼外秃大嘴巴，有个尾巴比身大，青草假山来相伴，绽放朵朵大红花。(打一动物)","金鱼","青蛙","螃蟹","小狗","1","5870","5880",""
"44","盲人摸象(猜─成语)","不识大体","捉摸不透","不明所以","一探虚实","1","5870","5880",""
"45","瑞气升腾罩金乌(猜─成语)","蒸蒸日上","生意兴隆","家兴人旺","如日中天","1","5870","5880",""
"46","一个人3块钱买了一只鸡，5块钱卖掉，然后6块钱又买了回来，7块钱卖掉，他赚了多少?","3","5","7","6","1","5870","5880",""
"47","什么酒不能喝?","碘酒","雄黄酒","鸡尾酒","白酒","1","5870","5880",""
"48","部位相反，猜一字","陪","多","磊","朋","1","5870","5880",""
"49","楼台楼台，一层一层接起来，上面冒白气，下面水花开(打一日常用品)","蒸笼","灶台","梯子","铁锅","1","5870","5880",""
"50","为什么老张家的马吃掉了老李家的象?","他们在下象棋","马疯了","两个在干架","象死了","1","5870","5880",""
"51","半耕半读(猜一字)","讲","听","话","评","1","5870","5880",""
"52","黄金布，包银条，中间弯弯两头翘(猜水果)","香蕉","橘子","甘蔗","火龙果","1","5870","5880",""
"53","口比肚子大，给啥就吃啥，它吃为了你，你吃端着它(打一日常用品)","碗","杯子","锅","茶壶","1","5870","5880",""
