"ID","名字1","名字2","名字3","名字4","展示1","展示2","展示3","展示4","描述1","描述2","描述3","描述4"
"11","剑指千军","力拔千钧","以盾为戎","重剑无锋","set:my_jingmai_tuijian image:111","set:my_jingmai_tuijian image:112","set:my_jingmai_tuijian image:114","set:my_jingmai_tuijian image:113","全力进攻型,强化物理暴击","防守反击型,强化伤害结果","防御进攻型,强化破釜沉舟","进攻防御性，强化物理忽视"
"12","高山流水","月落星沉","不动如山","望月潮生","set:my_jingmai_tuijian image:121","set:my_jingmai_tuijian image:122","set:my_jingmai_tuijian image:123","set:my_jingmai_tuijian image:124","一速封印型，提升封印敏捷","持续输出型，提升方寸法伤","二速生存型，提升抗封效果","输出封印型，强化五雷伤害"
"13","鲲鹏万里","万兽之王","狂狮啸傲","雄鹰振翅","set:my_jingmai_tuijian image:131","set:my_jingmai_tuijian image:132","set:my_jingmai_tuijian image:133","set:my_jingmai_tuijian image:134","全力输出型，提升物暴概率","侧重辅助型，强化清宠能力","辅助输出型，强化物防忽视","输出辅助型，强化短期爆发"
"14","夜翼睨世","韶华流觞","刹那芳华","狂枭魅影","set:my_jingmai_tuijian image:141","set:my_jingmai_tuijian image:142","set:my_jingmai_tuijian image:143","set:my_jingmai_tuijian image:144","进攻辅助型，强化五蕴皆空伤害","辅助连毒型，提升连毒概率","辅助进攻型，强化五蕴皆空数量","全力进攻型，提升物伤结果"
"15","龙战于野","潜龙在渊","蛟龙出海","贯斗双龙","set:my_jingmai_tuijian image:151","set:my_jingmai_tuijian image:152","set:my_jingmai_tuijian image:153","set:my_jingmai_tuijian image:154","输出持续型，强化法术连击","提升连毒概率","输出持续型，强化法术伤害","诅咒进攻型，强化降疗效果"
"16","步步生莲","出水芙蓉","青荷渡世","幽影凝香","set:my_jingmai_tuijian image:161","set:my_jingmai_tuijian image:162","set:my_jingmai_tuijian image:163","set:my_jingmai_tuijian image:164","辅助进攻型，获得波澜保命","进攻控制型，强化五行咒伤害","全力辅助型，强化治疗效果","进攻辅助型，强化复活效果"
"17","势吞八荒","星火燎原","气冲牛斗","烽火焚天","set:my_jingmai_tuijian image:171","set:my_jingmai_tuijian image:172","set:my_jingmai_tuijian image:173","set:my_jingmai_tuijian image:174","暴力输出型，强化法术暴击","侧重辅助型，强化印记能力","辅助输出型，强化法术伤害","输出辅助型，强化感知能力"
"18","皓月凌空","星月合璧","偃月云霜","晓风残月","set:my_jingmai_tuijian image:181","set:my_jingmai_tuijian image:182","set:my_jingmai_tuijian image:183","set:my_jingmai_tuijian image:184","输出封印型，强化月影摇光","全力输出型，强化伤害结果","封印月宫型，加强封印命中","封印输出型，强化力量命中"
"19","心如琉璃","醒世清钟","万钟归心","云生结塔","set:my_jingmai_tuijian image:191","set:my_jingmai_tuijian image:192","set:my_jingmai_tuijian image:193","set:my_jingmai_tuijian image:194","辅助治疗型，强化治疗效果","敏捷辅助型，提升自身速度","输出辅助型，强化法暴概率","输出控制型，强化控制能力"
"21","芳华韶光","花韵灵籁","人间芳菲","百花嫣然","set:my_jingmai_tuijian1 image:221","set:my_jingmai_tuijian1 image:223","set:my_jingmai_tuijian1 image:224","set:my_jingmai_tuijian1 image:222","封印输出型，强化技能固伤","封印存活型，强化花瓣恢复","固伤输出型，强化固伤与封印能力","固伤辅助型，强化固伤与花瓣辅助"
"22","佛像宝刹","梵音涤世","紫电雷池","霹雳摄魂","set:my_jingmai_tuijian1 image:201","set:my_jingmai_tuijian1 image:202","set:my_jingmai_tuijian1 image:203","set:my_jingmai_tuijian1 image:204","暴力输出，主打忽视法术防御.","输出控制，以佛珠输出为主兼顾控制。","控制输出，以魔珠控制为主兼顾护盾保护。","控制输出，以魔珠控制为主兼顾输出。"
"24","定海神针","擎天之柱","超凡入圣","齐天大圣","set:my_jingmai_tuijian1 image:212","set:my_jingmai_tuijian1 image:211","set:my_jingmai_tuijian1 image:214","set:my_jingmai_tuijian1 image:213","单体点杀型，强化当头一棒","控制输出型","全体面伤型，强化泼天乱棍","输出控制型，强化千变万化"
"25","长风破浪","星海月明","海纳百川","碧海青天","set:my_jingmai_tuijian1 image:231","set:my_jingmai_tuijian1 image:232","set:my_jingmai_tuijian1 image:234","set:my_jingmai_tuijian1 image:233","扶摇单体型，增强扶摇与星鲲联动","击水群伤型，高须弥值击水机制","辅助全伤型，强化辅助技能效果","溢伤单体型，增强星鲲状态下爆发"
