"Issue Id","Summary","Assignee Role","Original Estimate","Start Date","Due Date","Depends On","Phase","Platform","Status","Progress","Update Time","Acceptance Criteria"
"P0-001","建立画质P0分支与日志基线","RD-Renderer","6h","2026-03-05","2026-03-05","","开发","Win32+iOS","已完成","100%","2026-03-06 13:20","启动日志可看到multiSampleType,bEnableMipMap,effect状态"
"P0-002","搭建三场景复现与对比脚本","INT","4h","2026-03-05","2026-03-05","P0-001","联调","Win32+iOS","进行中","50%","2026-03-06 13:20","可一键复现三场景并产出截图"
"P0-003","基线截图与FPS采样","QA-Func","6h","2026-03-05","2026-03-05","P0-002","QA","Win32+iOS","进行中","40%","2026-03-06 13:20","基线报告完整且可追溯"
"P0-004","打通EngineParameter赋值链路","RD-Engine","7h","2026-03-06","2026-03-06","P0-001","开发","Win32+iOS+Android","已完成","100%","2026-03-06 13:20","配置变更后运行值同步生效"
"P0-005","参数链路三端联调","INT","3h","2026-03-06","2026-03-06","P0-004","联调","Win32+iOS+Android","已完成","100%","2026-03-06 02:21","Win32+Android 参数一致，iOS采样按执行决策延期"
"P0-006","参数开关冒烟测试","QA-Func","4h","2026-03-06","2026-03-06","P0-005","QA","Win32+iOS+Android","已完成","100%","2026-03-06 02:21","Win32+Android 冒烟通过，iOS项延期处理"
"P0-007","实现StateManager特效状态存储","RD-Renderer","8h","2026-03-09","2026-03-09","P0-004","开发","Win32+iOS","已完成","100%","2026-03-06 02:21","StateManager 已持久化 effect/param，DrawPicture 可读取状态"
"P0-008","StateManager回归验证","QA-Func","3h","2026-03-09","2026-03-09","P0-007","QA","Win32+iOS","进行中","30%","2026-03-06 02:34","三场景回归用例与日志比对模板已就绪，待实测回填"
"P0-009","DrawPicture消费全局effect","RD-Renderer","8h","2026-03-10","2026-03-10","P0-007","开发","Win32+iOS","进行中","70%","2026-03-06 02:34","DrawPicture已接入全局effect分支且保持iShaderType优先级，待P0-010联调与P0-012参数接线"
"P0-010","世界层夜景调用链联调","INT","4h","2026-03-10","2026-03-10","P0-009","联调","Win32+Android","进行中","70%","2026-03-06 12:14","开关显式赋值链路已落地并完成Win32/Android重编译，待进入目标场景复采拿pass"
"P0-011","三场景视觉差分V1","QA-Func","4h","2026-03-10","2026-03-10","P0-010","QA","Win32+iOS","未开始","0%","2026-03-06 13:20","三场景差分截图齐全且可读"
"P0-012","动态注册ColorBalance Shader","RD-Renderer","8h","2026-03-11","2026-03-11","P0-009","开发","Win32+iOS","未开始","0%","2026-03-06 13:20","普通地图与地下宫殿效果可区分"
"P0-013","ColorBalance参数公式对齐","RD-Renderer","8h","2026-03-12","2026-03-12","P0-012","开发","Win32+iOS","未开始","0%","2026-03-06 13:20","夜景过渡平滑且中心区逻辑正确"
"P0-014","夜景全链路联调V2","INT","4h","2026-03-12","2026-03-12","P0-013","联调","Win32+iOS","未开始","0%","2026-03-06 13:20","全链路无断点且日志一致"
"P0-015","视觉评审轮次1","QA-Func","4h","2026-03-12","2026-03-12","P0-014","QA","Win32+iOS","未开始","0%","2026-03-06 13:20","评审结论为可接受或给出明确修改项"
"P0-016","修复World::SetNightEffect一致性","RD-Engine","6h","2026-03-13","2026-03-13","P0-013","开发","Win32+iOS","未开始","0%","2026-03-06 13:20","不再出现只切effect不更新参数"
"P0-017","地图覆盖联调","INT","4h","2026-03-13","2026-03-13","P0-016","联调","Win32+iOS","未开始","0%","2026-03-06 13:20","重点地图通过率100%"
"P0-018","地图专项回归","QA-Func","4h","2026-03-13","2026-03-13","P0-017","QA","Win32+iOS","未开始","0%","2026-03-06 13:20","无阻断级缺陷遗留"
"P0-019","iOS MSAA配置化与降级","RD-iOS","7h","2026-03-16","2026-03-16","P0-004","开发","iOS","未开始","0%","2026-03-06 13:20","真机可切换且失败自动回退"
"P0-020","iOS真机分档联调","INT","4h","2026-03-16","2026-03-16","P0-019","联调","iOS","未开始","0%","2026-03-06 13:20","关键机型稳定运行无黑屏"
"P0-021","iOS性能专项测试","QA-Perf","5h","2026-03-16","2026-03-16","P0-020","QA","iOS","未开始","0%","2026-03-06 13:20","iOS平均FPS回退小于10%"
"P0-022","全量联调与问题收敛","INT","8h","2026-03-17","2026-03-17","P0-021","联调","Win32+iOS","未开始","0%","2026-03-06 13:20","阻断缺陷清零或有可执行规避方案"
"P0-023","全回归与性能复测","QA-Func","6h","2026-03-17","2026-03-17","P0-022","QA","Win32+iOS","未开始","0%","2026-03-06 13:20","Win32回退小于8% iOS回退小于10%"
"P0-024","RC打包与回滚演练","Release","3h","2026-03-18","2026-03-18","P0-023","发布","Win32+iOS","未开始","0%","2026-03-06 13:20","发布与回滚手册可执行"
