Issue Id,Summary,Issue Type,Description,Priority,Labels,Assignee,Assignee Role,Original Estimate,Start Date,Due Date,Depends On,Acceptance Criteria,Phase,Platform,Rollback Switches
P0-001,建立画质P0分支与日志基线,Task,创建画质优化专用分支并补充启动参数和特效链路日志点,High,"p0,visual-quality,renderer",,RD-Renderer,6h,2026-03-05,2026-03-05,,"启动日志可看到multiSampleType,bEnableMipMap,effect状态",开发,Win32+iOS,QualityP0Enable
P0-002,搭建三场景复现与对比脚本,Task,固化白天外景夜晚外景地下宫殿三套回归场景和执行脚本,High,"p0,visual-quality,integration",,INT,4h,2026-03-05,2026-03-05,P0-001,可一键复现三场景并产出截图,联调,Win32+iOS,QualityP0Enable
P0-003,基线截图与FPS采样,Task,采集未改造版本的视觉截图和FPS数据作为对照,High,"p0,qa,baseline",,QA-Func,6h,2026-03-05,2026-03-05,P0-002,基线报告完整且可追溯,QA,Win32+iOS,QualityP0Enable
P0-004,打通EngineParameter赋值链路,Story,在gRunGameApplication中显式设置ep.multiSampleType和ep.bEnableMipMap并统一渲染标志,Highest,"p0,engine,param-chain",,RD-Engine,7h,2026-03-06,2026-03-06,P0-001,"配置变更后运行值同步生效",开发,Win32+iOS+Android,QualityP0Enable
P0-005,参数链路三端联调,Task,验证Win32 iOS Android启动参数日志一致性和稳定性,High,"p0,integration,param-chain",,INT,3h,2026-03-06,2026-03-06,P0-004,三端启动无崩溃并显示正确参数,联调,Win32+iOS+Android,QualityP0Enable
P0-006,参数开关冒烟测试,Task,验证参数开关对画质行为的开启关闭效果,High,"p0,qa,smoke",,QA-Func,4h,2026-03-06,2026-03-06,P0-005,关键开关行为与预期一致,QA,Win32+iOS+Android,QualityP0Enable
P0-007,实现StateManager特效状态存储,Story,补齐SelEffect和SetShaderParam使其保存当前特效与参数,Highest,"p0,renderer,state-manager",,RD-Renderer,8h,2026-03-09,2026-03-09,P0-004,DrawPicture可读取到当前effect和参数,开发,Win32+iOS,NightShaderEnable
P0-008,StateManager回归验证,Task,回归已有特效路径确保无行为退化,High,"p0,qa,regression",,QA-Func,3h,2026-03-09,2026-03-09,P0-007,已有渲染路径无新增阻断缺陷,QA,Win32+iOS,NightShaderEnable
P0-009,DrawPicture消费全局effect,Story,在DrawPicture中接入全局effect分支并保持iShaderType优先级,Highest,"p0,renderer,draw-picture",,RD-Renderer,8h,2026-03-10,2026-03-10,P0-007,夜景effect生效且HSV灰度不回退,开发,Win32+iOS,NightShaderEnable
P0-010,世界层夜景调用链联调,Task,验证World到Renderer到Shader参数传递每帧一致,High,"p0,integration,night-effect",,INT,4h,2026-03-10,2026-03-10,P0-009,抓日志确认每帧SelectRenderEffect和SetShaderParam一致,联调,Win32+iOS,NightShaderEnable
